,idx,lat,lon,distance,date
0,0,39.63665771484375,144.44789123535156,0.0,2018-01-01 00:00:00
1,0,39.64472579956055,144.43637084960938,1.3316577672958374,2017-12-31 23:00:00
2,0,39.651973724365234,144.4235076904297,2.6946184635162354,2017-12-31 22:00:00
3,0,39.65837097167969,144.40931701660156,4.1005144119262695,2017-12-31 21:00:00
4,0,39.66389846801758,144.393798828125,5.56216287612915,2017-12-31 20:00:00
5,0,39.66851043701172,144.3770294189453,7.084190845489502,2017-12-31 19:00:00
6,0,39.672183990478516,144.3590850830078,8.671072959899902,2017-12-31 18:00:00
7,0,39.67489242553711,144.3400421142578,10.325955390930176,2017-12-31 17:00:00
8,0,39.67660903930664,144.31997680664062,12.051118850708008,2017-12-31 16:00:00
9,0,39.67731857299805,144.29920959472656,13.827357292175293,2017-12-31 15:00:00
10,0,39.67695236206055,144.27810668945312,15.631007194519043,2017-12-31 14:00:00
11,0,39.67546463012695,144.25686645507812,17.4534969329834,2017-12-31 13:00:00
12,0,39.67275619506836,144.2356414794922,19.292068481445312,2017-12-31 12:00:00
13,0,39.668495178222656,144.2148895263672,21.12801170349121,2017-12-31 11:00:00
14,0,39.66254806518555,144.19496154785156,22.955244064331055,2017-12-31 10:00:00
15,0,39.65492630004883,144.17604064941406,24.781084060668945,2017-12-31 09:00:00
16,0,39.645660400390625,144.1583709716797,26.6092472076416,2017-12-31 08:00:00
17,0,39.63509750366211,144.14207458496094,28.430660247802734,2017-12-31 07:00:00
18,0,39.62352752685547,144.12725830078125,30.235143661499023,2017-12-31 06:00:00
19,0,39.61104202270508,144.11398315429688,32.027164459228516,2017-12-31 05:00:00
20,0,39.59774398803711,144.10231018066406,33.80975341796875,2017-12-31 04:00:00
21,0,39.583744049072266,144.09242248535156,35.579742431640625,2017-12-31 03:00:00
22,0,39.569210052490234,144.08441162109375,37.333229064941406,2017-12-31 02:00:00
23,0,39.55432891845703,144.07827758789062,39.06700134277344,2017-12-31 01:00:00
24,0,39.5393180847168,144.07400512695312,40.77341842651367,2017-12-31 00:00:00
25,0,39.5243034362793,144.0712890625,42.45645523071289,2017-12-30 23:00:00
26,0,39.50932312011719,144.06973266601562,44.12480545043945,2017-12-30 22:00:00
27,0,39.494468688964844,144.06927490234375,45.77434158325195,2017-12-30 21:00:00
28,0,39.47977066040039,144.06980895996094,47.406673431396484,2017-12-30 20:00:00
29,0,39.46525192260742,144.0713348388672,49.02373504638672,2017-12-30 19:00:00
30,0,39.4509162902832,144.0738067626953,50.62921905517578,2017-12-30 18:00:00
31,0,39.43678665161133,144.0772247314453,52.224937438964844,2017-12-30 17:00:00
32,0,39.42300796508789,144.0819854736328,53.80839920043945,2017-12-30 16:00:00
33,0,39.40976333618164,144.0882110595703,55.3730354309082,2017-12-30 15:00:00
34,0,39.397159576416016,144.09585571289062,56.918617248535156,2017-12-30 14:00:00
35,0,39.38528823852539,144.1048126220703,58.44453811645508,2017-12-30 13:00:00
36,0,39.374244689941406,144.114990234375,59.95012283325195,2017-12-30 12:00:00
37,0,39.3641357421875,144.12628173828125,61.43317794799805,2017-12-30 11:00:00
38,0,39.355072021484375,144.13851928710938,62.88803482055664,2017-12-30 10:00:00
39,0,39.347164154052734,144.1512451171875,64.28981018066406,2017-12-30 09:00:00
40,0,39.340476989746094,144.16436767578125,65.63936614990234,2017-12-30 08:00:00
41,0,39.33514404296875,144.1776885986328,66.92776489257812,2017-12-30 07:00:00
42,0,39.33116912841797,144.1910400390625,68.15666198730469,2017-12-30 06:00:00
43,0,39.32850646972656,144.2042236328125,69.32723236083984,2017-12-30 05:00:00
44,0,39.327110290527344,144.21722412109375,70.454833984375,2017-12-30 04:00:00
45,0,39.326942443847656,144.22987365722656,71.54180145263672,2017-12-30 03:00:00
46,0,39.327972412109375,144.24205017089844,72.59423828125,2017-12-30 02:00:00
47,0,39.33017349243164,144.25352478027344,73.610107421875,2017-12-30 01:00:00
48,0,39.3335075378418,144.26409912109375,74.59133911132812,2017-12-30 00:00:00
49,0,39.337608337402344,144.2733917236328,75.51042175292969,2017-12-29 23:00:00
50,0,39.34210205078125,144.281005859375,76.33338165283203,2017-12-29 22:00:00
51,0,39.34684371948242,144.2869110107422,77.06497955322266,2017-12-29 21:00:00
52,0,39.351688385009766,144.29107666015625,77.71185302734375,2017-12-29 20:00:00
53,0,39.356475830078125,144.2935028076172,78.28396606445312,2017-12-29 19:00:00
54,0,39.36104965209961,144.29421997070312,78.79684448242188,2017-12-29 18:00:00
55,0,39.36522674560547,144.29336547851562,79.26780700683594,2017-12-29 17:00:00
56,0,39.36886215209961,144.29104614257812,79.71955108642578,2017-12-29 16:00:00
57,0,39.37184524536133,144.28733825683594,80.1805419921875,2017-12-29 15:00:00
58,0,39.37406539916992,144.28233337402344,80.6771240234375,2017-12-29 14:00:00
59,0,39.37541198730469,144.27610778808594,81.2330093383789,2017-12-29 13:00:00
60,0,39.37577819824219,144.26878356933594,81.86369323730469,2017-12-29 12:00:00
61,0,39.37507247924805,144.26048278808594,82.5810546875,2017-12-29 11:00:00
62,0,39.37318801879883,144.25131225585938,83.39593505859375,2017-12-29 10:00:00
63,0,39.370033264160156,144.241455078125,84.31197357177734,2017-12-29 09:00:00
64,0,39.365577697753906,144.2310333251953,85.3343505859375,2017-12-29 08:00:00
65,0,39.3598747253418,144.22018432617188,86.46056365966797,2017-12-29 07:00:00
66,0,39.352901458740234,144.20919799804688,87.68087768554688,2017-12-29 06:00:00
67,0,39.34467697143555,144.19830322265625,88.98819732666016,2017-12-29 05:00:00
